,Código Necesidad,Fecha_Public,Provincia,Descripción Necesidad,Status,Fecha limite,EntidadContrato,Dir_Entrega,Contacto
0,NIC-0360032430001-2021-40011,2021-09-16 17:14:00,CAÑAR - AZOGUES,?COMPRA DE MATERIALES DE ASEO ALCOHOL ANTISEPTICO 70 POR NECESIDAD DE ÍNFIMA CUANTÍA PARA LAS INSTITUCIONES EDUCATIVAS DE LA DIRECCIÓN DISTRITAL 03D,En Curso,2021-09-20 12:00:00,DIRECCION DISTRITAL 03D01 AZOGUES BIBLIAN DELEG EDUCACION,SOLANO Y LUIS CORDERO FRENTE AL COLEGIO LA SALLE,"Funcionario Encargado: Ing. Sara Filomena Quito Parra
Email: sara.quito@educacion.gob.ec"
1,NIC-1768069740001-2021-40008,2021-09-16 17:13:00,PICHINCHA - QUITO,"Adquisición de comprobantes de egreso de bodega, que serán utilizados para los ingresos y egresos que requieran la Unidad de Protección del Medio Ambi",En Curso,2021-09-20 17:13:00,UNIDAD DE PROTECCION DEL MEDIO AMBIENTE,Av. Sebastián de Benalcazar y Gualberto Arcos OE2-381,"Funcionario Encargado: Ing. Nelson López Amagua 0992172936
Email: nelson.lopez1969@yahoo.es"
2,NIC-1760013480001-2021-40057,2021-09-16 17:12:00,GUAYAS - GUAYAQUIL,RENOVACION DE LOS SERVICIOS DE MANTENIMIENTO PREVENTIVO Y SOPORTE TÉCNICO DEL SOFTWARE DE PROTOCOLO LDAP PARA EL SENAE,En Curso,2021-09-27 17:01:00,SERVICIO NACIONAL DE ADUANA DEL ECUADOR,Av. Malecón Simón Bolívar entre Av. 9 de Octubre y P. Icaza.,"Funcionario Encargado: Nathalie Cadena Saá - Técnico en Adquisiciones
Email: ncadena@aduana.gob.ec"
3,NIC-1960139030001-2021-40011,2021-09-16 17:11:00,ZAMORA CHINCHIPE - ZAMORA,Adquisición de Repuestos y Accesorios para Motoniveladora New Holland,En Curso,2021-09-21 16:35:00,GOBIERNO AUTONOMO PARROQUIAL RURAL DE CUMBARATZA,Av. HERNANDO DE ARANDA Y JORGE MOSQUERA,"Funcionario Encargado: Ing. Ángel Ocampo
Email: junta_cumba@yahoo.es"
4,NIC-0960005530001-2021-40016,2021-09-16 17:11:00,GUAYAS - PLAYAS,MANTENIMIENTO Y PUESTA DE FUNCIONAMIENTO DEL TRANSFORMADOR DE 50KVA DEL GAD PARA EL EDIFICIO PRINCIPAL DE LA MUNICIPALIDAD VER TDR https://we.tl/t-1f6,En Curso,2021-09-17 18:23:00,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON PLAYAS,"AVE. 15 DE AGOSTO, FRENTE AL PLAZA CIVICO","Funcionario Encargado: VANESSA ROSERO CARRANZA
Email: compras.publicas.playas16@gmail.com"
5,NIC-0968565390001-2021-40015,2021-09-16 17:11:00,SANTA ELENA - SANTA ELENA,Servicio de impresión de blocks para control de gestiones administrativas.,En Curso,2021-09-17 17:13:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE COLONCHE,Av. Tiburcio Rosales vía Guangala.,"Funcionario Encargado: Jonathan Rodriguez Peñafiel
Email: jrodriguezp@gadcolonche.gob.ec"
6,NIC-0990001340001-2021-40038,2021-09-16 17:10:00,GUAYAS - GUAYAQUIL,SERVICIO DE MANTENIMIENTO CORRECTIVO ESPECIALIZADO A SECADOR INGERSOLLRAND,En Curso,2021-09-22 17:10:00,ACERIAS NACIONALES DEL ECUADOR SOCIEDAD ANONIMA (A.N.D.E.C.),AV. LAS ESCLUSAS SOLAR 9 PRIMER PASAJE 12C SE MZ 2009 GUASMO CENTRAL,"Funcionario Encargado: TECN. ROLANDO HOLGUIN ZAMBRANO
Email: rholguin@andec.com.ec"
7,NIC-0960000220001-2021-40091,2021-09-16 17:10:00,GUAYAS - GUAYAQUIL,ADUISICIÓN DE 673 PAQUETES DE PAÑALES PARA ADULTO SOLICITA DIRECCION DE INCLUSION SOCIAL,En Curso,2021-09-21 16:11:00,Municipalidad de Guayaquil,DIRECCIÓN DE INCLUSIÓN SOCIAL DEL MUNICIPIO DE GUAYAQUIL,"Funcionario Encargado: Jestin Quiroz Pluas
Email: eusquijp@guayaquil.gov.ec"
8,NIC-0460003310001-2021-40014,2021-09-16 17:10:00,CARCHI - ESPEJO,ADQUISICION DE MEDICAMENTO RETINOL,En Curso,2021-09-17 23:59:00,DIRECCION DISTRITAL 04D03 - ESPEJO - MIRA - SALUD,MONTUFAR Y JOSE BENIGNO GRIJALVA,"Funcionario Encargado: ING. BYRON QUELAL
Email: byron.quelal@dpsca.gob.ec"
9,NIC-1768115520001-2021-40082,2021-09-16 17:10:00,PICHINCHA - QUITO,Cemento para mantenimiento vial,En Curso,2021-09-20 17:00:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL DE CHECA,BARRIO SAN PEDRO DE LA TOLA CALLE RIO GUAYAS,"Funcionario Encargado: PAMELA FARINANGO
Email: secretaria@checa.gob.ec"
