,Código Necesidad,Fecha_Public,Provincia,Descripción Necesidad,Status,Fecha limite,EntidadContrato,Dir_Entrega,Contacto
0,NIC-0160000940001-2021-40157,2021-09-16 15:00:00,AZUAY - SAN FERNANDO,Adq. de material didáctico para proyectos GAD SAN FERNANDO,En Curso,2021-09-17 15:30:00,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE SAN FERNANDO,Sucre y 10 de Agosto,"Funcionario Encargado: Jhanet Cardenas O.
Email: compraspublicas@sanfernando.gob.ec"
1,NIC-1768035090001-2021-40044,2021-09-16 15:00:00,PICHINCHA - QUITO,"""ADQUISICIÓN DE MEDICAMENTOS CLORURO DE SODIO LÍQUIDO PARENTERAL 0,9% x 1000 ML POR INFIMA CUANTÍA PARA EL HOSPITAL ESPECIALIZADO JULIO ENDARA""",En Curso,2021-09-20 09:00:00,HOSPITAL PSIQUIATRICO JULIO ENDARA,AUT. GENERAL RUMIÑAHUI Y AV. MANUELA CAÑIZARES PUENTE 7,"Funcionario Encargado: ING. MARCIA REMACHE
Email: marcia.remache@hpje.gob.ec"
2,NIC-0660828300001-2021-40111,2021-09-16 15:00:00,CHIMBORAZO - RIOBAMBA,ADQUISICIÓN DE DISPOSITIVO MEDICO – INSPIRÓMETRO PARA EL HOSPITAL GENERAL RIOBAMBA,En Curso,2021-09-17 15:01:00,HOSPITAL GENERAL RIOBAMBA,CHILE,"Funcionario Encargado: DIANA MISHEL SALAZAR ALTAMIRANO
Email: diana.salazaral@iess.gob.ec"
3,NIC-0660000790001-2021-40017,2021-09-16 15:00:00,CHIMBORAZO - GUAMOTE,ADQUISICIÓN DE LICENCIAS DE ANTIVIRUS PARA LOS EQUIPOS DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN GUAMOTE.,En Curso,2021-09-17 16:01:00,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON GUAMOTE,10 DE AGOSTO S/N Y ABELARDO MONTALVO,"Funcionario Encargado: Maritza Oñate
Email: maritza.anate@gadguamote.gob.ec"
4,NIC-1260042650001-2021-40018,2021-09-16 15:00:00,LOS RIOS - MONTALVO,PUERTA DE ACORDEON PARA SEGURIDAD DEL EDIFICIO DEL GAD PARROQUIAL LA ESMERALDA,En Curso,2021-09-21 14:00:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL LA ESMERALDA GADPR LA ESMERALDA,AV. LENIN MORENO Y VIRGEN DEL ROSARIO FRENTE AL PARQUE CENTRAL,"Funcionario Encargado: VIVIANA LOURDES QUITO CANENCIA
Email: gadparroquial_laesmeralda@hotmail.com"
5,NIC-1160836120001-2021-40035,2021-09-16 15:00:00,LOJA - CHAGUARPAMBA,Adquisición de Kits de Alimentos y Bebidas para los Adultos Mayores del Proyecto Atención Domiciliaria,En Curso,2021-09-17 15:30:00,GOBIERNO AUTONOMO MUNICIPAL DEL CANTON CHAGUARPAMBA,Calle San Juan Bautista y Pasaje 5 de Agosto,"Funcionario Encargado: Carlos Lizalde Agila
Email: carlos.lizalde@gadchaguarpamba.gob.ec"
6,NIC-1768046450001-2021-40891,2021-09-16 15:00:00,PICHINCHA - QUITO,Contratación del Servicio de Mantenimiento y Recarga de Extintores Contra Incendios para las Áreas Médicas y Administrativas del Hospital de Especiali,En Curso,2021-09-17 15:14:00,HOSPITAL DE ESPECIALIDADES CARLOS ANDRADE MARIN,AV. 18 DE SEPTIEMBRE Y AYACUCHO,"Funcionario Encargado: Edwin Ismael Quinaupa Lutuala
Email: edwin.quinaupa@iess.gob.ec"
7,NIC-1960000380001-2021-40062,2021-09-16 15:00:00,ZAMORA CHINCHIPE - ZAMORA,Adquisición de materiales de oficina para el proyecto Adulto Mayor Con Discapacidad,En Curso,2021-09-17 17:00:00,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE ZAMORA,Diego de Vaca y 24 de Mayo,"Funcionario Encargado: Villalta Mijas Segundo Eduardo
Email: eduardo.villalta@zamora.gob.ec"
8,NIC-1768187190001-2021-40022,2021-09-16 15:00:00,GUAYAS - GUAYAQUIL,Repotenciación de la Plataforma de Virtualización y storage del data center del Centro Forense Zonal 5 Y 8 – Guayaquil,En Curso,2021-09-17 17:00:00,SERVICIO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,"Av. Rodríguez Bonín y Av. Barcelona, junto a la PJ. Sur","Funcionario Encargado: Juan Carlos Rocafuerte
Email: snmlcf.proformas@gmail.com"
9,NIC-1360086680001-2021-40003,2021-09-16 15:00:00,MANABI - BOLIVAR,CONTRATACIÓN DEL SERVICIO DE INSTALACIÓN DE PUNTOS ESTRATEGICOS DE LAVAVOS DE MANO Y SEÑALÉTICA DE PROTOCOLOS DE BIOSEGURIDAD EN EL EDIFICIO DE POSGRA,En Curso,2021-09-17 15:05:00,"EMPRESA PUBLICA DE ADMINISTRACION, GESTION DE SERVICIOS Y TRANSFERENCIA CIENTIFICA -TECNOLOGICA DE LA ESCUELA SUPERIOR POLITECNICA AGROPECUARIA DE MANABI MANUEL FELIX LOPEZ, ESPAM MFL-EP.","SITIO EL LIMON, CAMPUS POLITECNICO EDIFICIO DE POSGRADO TERCER PISO OFIC. ADM. DE LA ESPAMMFL-EP","Funcionario Encargado: ING. CARLOS MACIAS VALENCIA
Email: cmacias@espammfl-ep.com"
