,Código Necesidad,Fecha_Public,Provincia,Descripción Necesidad,Status,Fecha limite,EntidadContrato,Dir_Entrega,Contacto
0,NIC-0160049870001-2021-40026,2021-09-13 17:07:00,AZUAY - GIRON,SERVICIO DE TRANSPORTE,Finalizada,2021-09-14 17:10:00,Empresa Pública Municipal Mancomunada de Aseo Integral de la Cuenca del Jubones,LUCIANO VALLEJO Y 29 DE ENERO,"Funcionario Encargado: LOURDES ARPI
Email: compraspublicas@emmaicj.gob.ec"
1,NIC-0360000580001-2021-40152,2021-09-13 17:06:00,CAÑAR - CAÑAR,ADQUISICION DE REPUESTO PARA VEHICULO HINO #26 TIEMPO DE ENTREGA:INMEDIATO,Finalizada,2021-09-14 17:08:00,GOBIERNO AUTONOMO DESCENTRALIZADO INTERCULTURAL DEL CANTON CAÑAR,CALLE 5 DE JUNIO 1-25 Y ELOY ALFARO,"Funcionario Encargado: ROLANDO HUGO VERDUGO
Email: rolando.hugo@canar.gob.ec"
2,NIC-1768036490001-2021-40084,2021-09-13 17:03:00,PICHINCHA - QUITO,"MANTENIMIENTO PREVENTIVO, DIAGNÓSTICO E INSTALACIÓN DE REPUESTOS DE LOS EQUIPOS DE IMPRESIÓN DE LA DIRECCIÓN DISTRITAL CHILIBULO A LLOA SALUD",Finalizada,2021-09-15 15:03:00,DIRECCION DISTRITAL 17D06 CHILIBULO A LLOA SALUD,"Establecimientos de Salud, Oficinas Técnicas y Áreas Administrativas de la Dirección Distrital 17D06 Chilibulo a Lloa Salud","Funcionario Encargado: Ing. Lady Villacres Flores
Email: lady.villacres@17d06.mspz9.gob.ec"
3,NIC-0260017060001-2021-40007,2021-09-13 17:01:00,BOLIVAR - ECHEANDIA,SERVICIO Y MANTENIMIENTO DE RECARGA DE EXTINTORES PARA EL CUERPO DE BOMBEROS DE ECHEANDÍA,Finalizada,2021-09-15 16:38:00,CUERPO DE BOMBEROS DE ECHEANDIA,ANGEL POLIBIO CHAVEZ Y ABDON CALDERON,"Funcionario Encargado: CaboB Ing. William Fuentes Martínez
Email: echebomberos@yahoo.es"
4,NIC-1768087720001-2021-40012,2021-09-13 17:00:00,SUCUMBIOS - LAGO AGRIO,"ADQUISICIÓN DE TRANSPORTE DE MATERIAL PÉTREO ARENA SUCIA PARA LA CANCHA DEPORTIVA DEL BARRIO UNIÓN LOJANA, PERTENECIENTE A LA PARROQUIA DE GENERAL F",Finalizada,2021-09-14 17:10:00,JUNTA PARROQUIAL GENERAL FARFAN,VÍA AL PUENTE INTERNACIONAL,"Funcionario Encargado: ANA JAMA
Email: info@gadgeneralfarfan.gob.ec"
5,NIC-1768153530001-2021-40193,2021-09-13 17:00:00,SANTO DOMINGO DE LOS TSACHILAS - SANTO DOMINGO,SERVICIO DE RECUPERACION DE PRODUCTO PARA EVACUAR LA TUBERÍA A REPARAR - IC-EPP-2020993-21,Finalizada,2021-09-15 16:45:00,Empresa Pública de hidrocarburos del Ecuador EP PETROECUADOR,"Km 91/2 Vía Santa Domingo - Aloag, márgen izquierdo. Poliducto E-SD-Q-M","Funcionario Encargado: WILLIAM XAVIER YAGUAL GONZALEZ
Email: william.yagual2@eppetroecuador.ec"
6,NIC-1768004960001-2021-40030,2021-09-13 17:00:00,MORONA SANTIAGO - SANTIAGO,"Contratación del seguro de Pólizas de fidelidad para el personal militar de la 21BS ""Cóndor"" y BS61 ""Santiago""",Finalizada,2021-09-16 12:40:00,"Brigada de Selva No. 21 ""Condor""","Km 6 1/2 vía a Tiwintza Brigada 21 ""Cóndor""","Funcionario Encargado: Subt. Pico Melissa
Email: cpublicas21condor@hotmail.com"
7,NIC-0968554860001-2021-40017,2021-09-13 17:00:00,GUAYAS - MILAGRO,REPARACION COMPLETA DEL MOTOR DEL VEHICULO DEL GAD PARROQUIAL TOYOTA HILUX,Finalizada,2021-09-14 17:05:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE ROBERTO ASTUDILLO,EL ORO 104 Y BOLIVAR,"Funcionario Encargado: BRYAN MICHAEL MOSQUERA MARIÑO
Email: bmosquera@gadrobertoastudillo.gob.ec"
8,NIC-0360033400001-2021-40040,2021-09-13 17:00:00,CAÑAR - LA TRONCAL,CAPACITADOR PARA EL TALLER ARTESANAL DE BELLEZA A DICTARSE EN EL RECINTO LA PUNTILLA DE PARROQUIA PANCHO NEGRO,Finalizada,2021-09-14 17:30:00,CENTRO DE GESTIÓN Y DESARROLLO SOCIAL DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO DE LA PROVINCIA DEL CAÑAR,Recinto la Puntilla de Parroquia Pancho Negro,"Funcionario Encargado: Maria Lorena Villavicencio Salinas
Email: ma.lorenasalinas@hotmail.com"
9,NIC-0660001250001-2021-40087,2021-09-13 17:00:00,CHIMBORAZO - RIOBAMBA,ADQUISICIÓN DE EQUIPOS DE SEGURIDAD PARA LOS VEHÍCULOS INSTITUCIONALES,Finalizada,2021-09-16 17:00:00,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,PANAMERICANA SUR KM 1 1/2,"Funcionario Encargado: MÓNICA E. GALÁN A.
Email: monica.galan@espoch.edu.ec"
