,Código Necesidad,Fecha_Public,Provincia,Descripción Necesidad,Status,Fecha limite,EntidadContrato,Dir_Entrega,Contacto
0,NIC-0460000130001-2021-40060,2021-09-17 20:31:00,CARCHI - TULCAN,Adquisición de material recreativo para ejecución de actividades lúdicas y artísticas,En Curso,2021-09-20 20:32:00,GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PROVINCIA DEL CARCHI,10 de agosto y sucre,"Funcionario Encargado: MIGUEL ANGEL GUERRERO
Email: migue.guerrero@carchi.gob.ec"
1,NIC-1768006150001-2021-40152,2021-09-17 20:10:00,PICHINCHA - QUITO,ADQUISICIÓN DE MATERIAL DIDÁCTICO PARA EL SISTEMA DE ARMAS BLANCOS DE TIRO PARA LA PRÁCTICA DE TIRO DEL PERSONAL DE CADETES,En Curso,2021-09-20 20:10:00,ESCUELA SUPERIOR MIL,AV. MANUEL CORDOVA GALARZA VIA A LA MITAD DEL MUNDO,"Funcionario Encargado: CARLOS HERNANDEZ
Email: santy049130@hotmail.com"
2,NIC-0260018620001-2021-40007,2021-09-17 20:00:00,BOLIVAR - SAN MIGUEL,SERVICIO DE MANTENIMIENTO PREVENTIVO DE EQUIPOS MEDICOS DE ENFERMERIA,En Curso,2021-09-22 20:10:00,CENTRO DE SALUD B - SAN MIGUEL DE BOLIVAR,CALLE BATALLA CAMINO REAL - BARRIO SANTO CRISTO,"Funcionario Encargado: LIC. KATHYA IVETTE CARDENAS VERDEZOTO
Email: wladimir.pazmino@iess.gob.ec"
3,NIC-1760002280001-2021-40035,2021-09-17 20:00:00,PICHINCHA - QUITO,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE UPS,En Curso,2021-09-22 20:00:00,PROCURADURIA GENERAL DEL ESTADO,Av. Amazonas N39-123 y José Arizaga Edificio Amazonas Plaza,"Funcionario Encargado: Mauricio Rosero
Email: mrosero@pge.gob.ec"
4,NIC-1260042650001-2021-40024,2021-09-17 19:55:00,LOS RIOS - MONTALVO,Adquisición de viveres para la ejecucion del proyecto de gastronomia en la Parroquia La Esmeralda,En Curso,2021-09-22 14:00:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL LA ESMERALDA GADPR LA ESMERALDA,AV. LENIN MORENO Y VIRGEN DEL ROSARIO FRENTE AL PARQUE CENTRAL,"Funcionario Encargado: VIVIANA LOURDES QUITO CANENCIA
Email: gadparroquial_laesmeralda@hotmail.com"
5,NIC-0960006260001-2021-40039,2021-09-17 19:00:00,GUAYAS - CORONEL MARCELINO MARIDUEÑA,ADQUISICIÓN DE NUEVAS MANGUERAS HIDRAULICAS PARA LA EXCAVADORA HYUNDAI DEL GAD MUNICIPAL DE CRNEL. MARCELINO MARIDUEÑA,En Curso,2021-09-21 17:46:00,MUNICIPALIDAD DE MARCELINO MARIDUEÑA,EN LAS BODEGAS DEL GAD MUNICIPAL DEL CANTÓN CORONEL MARCELINO MARIDUEÑA,"Funcionario Encargado: Juan Carlos Segarra Velásquez
Email: gadmmariduena33@gmail.com cpublicas1519@gmail.com"
6,NIC-1990915241001-2021-40005,2021-09-17 18:58:00,ZAMORA CHINCHIPE - YANTZAZA (YANZATZA),UNIFORMES PARA LIMPIEZA,En Curso,2021-09-20 18:48:00,ASOCIACION DE SERVICIOS DE LIMPIEZA FRUTA DEL NORTE ASERFRUN,PRIMERO DE MAYO Y 12 DE FEBRERO CERCA A LAS OFICINAS LUNDIN GOLD,"Funcionario Encargado: YESICA POMAQUIZA
Email: aserfrun@gmail.com"
7,NIC-0760004840001-2021-40043,2021-09-17 18:47:00,EL ORO - PIÑAS,ADQUISICIÓN DE DISPOSITIVOS MÉDICOS PARA IMAGEN PARA EL HOSPITAL BÁSICO LUIS MOSCOSO DE LA DIRECCIÓN DISTRITAL 07D04-BALSAS MARCABELÍ-PIÑAS- SALUD,En Curso,2021-09-22 10:37:00,DIRECCION DISTRITAL 07D04-BALSAS-MARCABELI-PIÑAS-SALUD,AV. ANGEL SALVADOR OCHOA - BARRIO SAN JOSE,"Funcionario Encargado: Espc. Yanela Labrada Toranzo
Email: yanela.labrada@07d04.mspz7.gob.ec"
8,NIC-1768034790001-2021-40476,2021-09-17 18:45:00,PICHINCHA - QUITO,JERINGA 5 ML,En Curso,2021-09-21 14:00:00,Hospital Gíneco Obstétrico Isidro Ayora,Av. Gran Colombia N14-66 y Sodiro,"Funcionario Encargado: Ing. Edgar López V.
Email: edgar.lopez@hgoia.gob.ec"
9,NIC-0760005810001-2021-40064,2021-09-17 18:45:00,EL ORO - EL GUABO,"ADQUISICIÓN DE MEDICAMENTOS VARIOS PARA EL HOSPITAL BÁSICO MARÍA LORENA SE- RRANO""",En Curso,2021-09-21 15:00:00,HOSPITAL BASICO MARIA LORENA SERRANO,PANAMERICAN SUR ENTRE CARCHI Y 9 DE MAYO,"Funcionario Encargado: ING PATRICIO FERNANDEZ
Email: patofernato@gmail.com"
