,Código Necesidad,Fecha_Public,Provincia,Descripción Necesidad,Status,Fecha limite,EntidadContrato,Dir_Entrega,Contacto
0,NIC-0968547300001-2021-40001,2021-09-15 15:40:00,GALAPAGOS - SANTA CRUZ,ADQUISICIÓN DE MATERIALES PARA LA ELABORACIÓN DE MANUALIDADES CON LOS ADULTOS MAYORES DE LA PARROQUIA DE SANTA ROSA,Finalizada,2021-09-16 16:40:00,Junta Parroquial Santa Rosa,23 de Noviembre y La Reserva,"Funcionario Encargado: July Ramon Soledispa
Email: gadprsantarosa.santacruz@hotmail.com"
1,NIC-1768159060001-2021-40015,2021-09-15 15:40:00,PICHINCHA - MEJIA,"ADQUISICIÓN DE MEDICAMENTOS DEL GRUPO TERAPÉUTICO ""C1"" CARDIOVASCULAR MEDIANTE ÍNFIMA CUANTÍA AÑO 2021",Finalizada,2021-09-16 16:00:00,CENTRO DE SALUD A-MACHACHI,CALLE 11 DE NOVIEMBRE Y PASAJE JOSE MEJIA,"Funcionario Encargado: GEOVANNA SUNTAXI
Email: geovanna.suntaxi@iess.gob.ec"
2,NIC-0260021330001-2021-40004,2021-09-15 15:40:00,BOLIVAR - CHIMBO,Impresora Matricial epson L800,En Curso,2021-09-17 15:35:00,EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DEL CANTON CHIMBO,Olmedo Y Chimborazo,"Funcionario Encargado: Alicia Ledesma
Email: male.ledesma20@gmail.com"
3,NIC-0760001900001-2021-40068,2021-09-15 15:40:00,EL ORO - LAS LAJAS,MANTENIMIENTO DEL SISTEMA DE TRANSMISION DE LA RETROEXCAVADORA,Finalizada,2021-09-16 17:00:00,GAD MUNICIPAL DE LAS LAJAS,AV. MUNICIPALIDAD ENTRE CUATRO DE OCTUBRE Y SUCRE,"Funcionario Encargado: LUIS JARAMILLO CASTILLO
Email: alcaldia@laslajas.gob.ec"
4,NIC-1060032030001-2021-40109,2021-09-15 15:40:00,IMBABURA - SAN MIGUEL DE URCUQUI,REALIZACIÓN DE FORMULARIOS DE SALIDA DE VEHICULOS EPCH 2021,En Curso,2021-09-17 17:00:00,EMPRESA PUBLICA DEL COMPLEJO TURISTICO DE CHACHIMBIRO,"Final de la vía a Chachimbiro, 100650","Funcionario Encargado: Ing. Maritza Rojas
Email: compraspublicas@chachimbiroep.gob.ec"
5,NIC-1360042550001-2021-40006,2021-09-15 15:40:00,MANABI - TOSAGUA,Actividades de protocolo y recepción para la Socialización del Presupuesto Participativo 2022,Finalizada,2021-09-16 15:41:00,JUNTA PARROQUIAL DE BACHILLERO,Calle Amador Vera Vera,"Funcionario Encargado: Ing. Carlos Moreira Loor
Email: jpbachillero@hotmail.com"
6,NIC-1768046450001-2021-40880,2021-09-15 15:40:00,PICHINCHA - QUITO,Paracetamol Solido Oral 500mg,Finalizada,2021-09-16 15:41:00,HOSPITAL DE ESPECIALIDADES CARLOS ANDRADE MARIN,AYACUCHO Y 18 DE SEPTIEMBRE,"Funcionario Encargado: JUAN ALEJANDRO MELO CORELLA
Email: juan.melo@iess.gob.ec"
7,NIC-2160000480001-2021-40104,2021-09-15 15:38:00,SUCUMBIOS - CASCALES,REPUESTOS Y ACCESORIOS,Finalizada,2021-09-16 15:41:00,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE CASCALES,AV. Quito entre Azuay y Bolívar.,"Funcionario Encargado: Nelson Ramiro Rodríguez Armijo.
Email: proveedorcascales@gmail.com"
8,NIC-1960130400001-2021-40049,2021-09-15 15:38:00,ZAMORA CHINCHIPE - ZAMORA,NC. ADQUISICIÓN DE EXTENSIÓN DE 75 CM TRÓCARES LAPAROSCÓPICOS Y LÍNEAS PARA CAPNOGRAFÍA PARA EL HOSPITAL GENERAL JULIUS DOEPFNER,En Curso,2021-09-17 14:38:00,HOSPITAL GENERAL JULIUS DOEPFNER,Sevilla de Oro y Francisco de Orellana,"Funcionario Encargado: Bqf. Jhelisa Medina
Email: proformasinfimashgjd@gmail.com"
9,NIC-1768046450001-2021-40879,2021-09-15 15:37:00,PICHINCHA - QUITO,GEMCITABINA SOLIDO PARENTERAL 1.000 mg,Finalizada,2021-09-16 15:38:00,HOSPITAL DE ESPECIALIDADES CARLOS ANDRADE MARIN,AYACUCHO Y 18 DE SEPTIEMBRE,"Funcionario Encargado: JUAN ALEJANDRO MELO CORELLA
Email: juan.melo@iess.gob.ec"
