,Código Necesidad,Fecha_Public,Provincia,Descripción Necesidad,Status,Fecha limite,EntidadContrato,Dir_Entrega,Contacto
0,NIC-1768182470001-2021-40038,2021-09-14 09:30:00,PICHINCHA - CAYAMBE,ADQUISICIÓN DISPOSITIVOS MÉDICOS DE USO GENERAL PARA EL PROYECTO ERRADICACIÓN PROGRESIVA DE MENDICIDAD,Finalizada,2021-09-15 09:40:00,UNIDAD EJECUTORA PARA LA PROTECCION DE DERECHOS,JUAN MONTALVO Y ALIANZA,"Funcionario Encargado: CRISTIAN LEON
Email: infimas.uepde@gadipmc.gob.ec"
1,NIC-1768153960001-2021-40055,2021-09-14 09:30:00,PICHINCHA - QUITO,Contratar el mantenimiento preventivo de aire acondicionado del Data Center y Cuarto Eléctrico,Finalizada,2021-09-16 12:00:00,Empresa Pública Metropolitana de servicios aeroportuarios y Gestión de Zonas Francas y Regímenes Especiales,"Edif. Quito Airport Center, piso 2 Tababela - Ecuador","Funcionario Encargado: Vladimir Llumitasig
Email: vladimir.llumitasig@aeropuertoquito.gob.ec"
2,NIC-0160032040001-2021-40037,2021-09-14 09:30:00,AZUAY - CHORDELEG,PROYECTO PRODUCTIVIDAD,Finalizada,2021-09-17 09:20:00,Junta Parroquial la Unión,Centro parroquial a 100mts de la Escuela Aurelio Bayas Martinez,"Funcionario Encargado: Ing. Jessica Maita Alvarracin
Email: info@gobiernoparroquiallaunion.gob.ec"
3,NIC-1360020740001-2021-40027,2021-09-14 09:30:00,MANABI - JAMA,ADQUISICION DE UNA BATERIA PARA LAPTOP MODELO HP PAVILION GAMING 15-AK002LA PARA LA UNIDAD DE TESORERIA,Finalizada,2021-09-16 09:21:00,Ilustre Municipalidad del Cantón Jama,AV. 20 DE MARZO,"Funcionario Encargado: ROSALIA CHICA RAMIREZ
Email: marito_2212@hotmail.com"
4,NIC-0460000640001-2021-40170,2021-09-14 09:30:00,CARCHI - MONTUFAR,MANTENIMIENTO Y ADECUACION ELECTRICA MURAL ARTISTICO EN EL SECTOR TERMINAL,Finalizada,2021-09-15 09:45:00,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE MONTUFAR,Sucre 03-64 y Bolivar,"Funcionario Encargado: ARQ. JUAN CARLOS ORTEGA
Email: juan.ortega@gadmintufar.gob.ec"
5,NIC-0968594650001-2021-40071,2021-09-14 09:30:00,GUAYAS - GUAYAQUIL,SERVICIO EXTERNALIZADO DE HIGIENIZACIÓN Y TRATAMIENTO DE ROPERÍA PARA LOS CENTROS DE SALUD DE 24 HORAS CSM. MARTHA DE ROLDOS Y FCO. JACOME DE LA CZ8,Finalizada,2021-09-16 15:00:00,COORDINACIÓN ZONAL 8 - SALUD,AV. CARLOS LUIS PLAZA DAÑIN Y FRANCISCO BOLOÑA EDIFICIO MACRO,"Funcionario Encargado: ING. SAYDA MAIZA ZAMBRANO
Email: sayda.maiza@saludzona8.gob.ec"
6,NIC-1768188830001-2021-40189,2021-09-14 09:30:00,PICHINCHA - QUITO,Adquisición de prendas de protección para programas oficiales,En Curso,2021-09-21 09:30:00,AGENCIA DE REGULACIÓN Y CONTROL FITO Y ZOOSANITARIO,"Eloy Alfaro y Federico Gonzáles Suárez, Av. Interoceánica Km 14 1/2","Funcionario Encargado: Diego Segura Narváez
Email: diego.segura@agrocalidad.gob.ec"
7,NIC-0960002000001-2021-40013,2021-09-14 09:30:00,GUAYAS - SANTA LUCIA,Adecuacion de la infraestructura de la Sala de Reuniones de la Junta de Usuarios del Sistema de Riego y Drenaje El Mate segun convenio de cooperacion,Finalizada,2021-09-15 10:30:00,Gobierno Municipal de Santa Lucia,Manuel Armas Pallo y 3 de febrero,"Funcionario Encargado: Hector Ruiz Alvarado
Email: infimasgadmcsl@gmail.com"
8,NIC-1060000690001-2021-40043,2021-09-14 09:30:00,IMBABURA - PIMAMPIRO,ADQUISICION DE KITS DE BIOSEGURIDAD DEL PROYECTO CENTROS DE DESARROLLO INFANTIL,Finalizada,2021-09-15 13:00:00,GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE SAN PEDRO DE PIMAMPIRO,FLORES 2-032 E IMBABURA,"Funcionario Encargado: LUIS CRESPO D.
Email: lcrespo@pimampiro.gob.ec gadpimampiro@gmail.com"
9,NIC-1760004650001-2021-40321,2021-09-14 09:28:00,AZUAY - CUENCA,"Adquisición de sellos, carpetas impresas, papel continuo, para la Unida de Pensiones del Azuay.",Finalizada,2021-09-16 09:28:00,INSTITUTO ECUATORIANO DE SEGURIDAD SOCIAL,Hermano Miguel y Gran Colombia Edificio de la Dirección Provincial IESS,"Funcionario Encargado: Ing. Edith Rojas Peñafiel
Email: edith.rojas@iess.gob.ec"
