,Código Necesidad,Fecha_Public,Provincia,Descripción Necesidad,Status,Fecha limite,EntidadContrato,Dir_Entrega,Contacto
0,NIC-0260000250001-2021-40184,2021-09-14 12:20:00,BOLIVAR - GUARANDA,Adquisición de una chapa de escritorio,Finalizada,2021-09-15 12:22:00,GOBIERNO AUTÓNOMO DESCENTRALIZADO DEL CANTÓN GUARANDA,convención de 1884 y garcía moreno,"Funcionario Encargado: Abg. Zumi Vallejo
Email: abelvallejo16@yahoo.es"
1,NIC-2160057400001-2021-40031,2021-09-14 12:18:00,ORELLANA - AGUARICO,"ALQUILER DE SERVICIO DE TRANSPORTE FLUVIAL DE CARGA DESDE COCA FCO. DE ORELLANA HASTA FRONTERAS DEL ECUADOR, PARROQUIA YASUNI, CANTON AGUARICO",Finalizada,2021-09-16 12:00:00,JUNTA PARROQUIAL YASUNI,"FRONTERAS DEL ECUADOR, PARROQUIA YASUNI","Funcionario Encargado: Sonia Tanguila
Email: gadpryasuni@gmail.com"
2,NIC-0160034410001-2021-40043,2021-09-14 12:17:00,AZUAY - PAUTE,COMPRA ALIMENTOS PARA PREPAR,Finalizada,2021-09-15 13:17:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL TOMEBAMBA,CENTRO PARROQUIAL DE TOMEBAMBA,"Funcionario Encargado: ESTHELA RIERA
Email: gadparroquialdetomebamba@hotmail.com"
3,NIC-2160000480001-2021-40098,2021-09-14 12:17:00,SUCUMBIOS - CASCALES,ADQUSICION DE MANGUERAS HIDRAULICAS,Finalizada,2021-09-15 12:19:00,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE CASCALES,AV. Quito entre Azuay y Bolívar.,"Funcionario Encargado: Nelson Ramiro Rodríguez Armijo.
Email: proveedorcascales@gmail.com"
4,NIC-1260049900001-2021-40033,2021-09-14 12:17:00,LOS RIOS - VALENCIA,MANTENIMIENTO DE VEHICULO-V2 MOTOBOMBA,Finalizada,2021-09-15 13:17:00,EMPRESA PUBLICA CUERPO DE BOMBEROS DEL CANTÓN VALENCIA,CALLE 2 DE AGOSTO Y AV. 13 DE DICIEMBRE,"Funcionario Encargado: Ing. Maricela Navarro Guerrero
Email: bomberos_valencia@hotmail.com"
5,NIC-1768052340001-2021-40054,2021-09-14 12:17:00,PICHINCHA - QUITO,ADQUISICIÓN DE COMBUSTIBLE EXTRA/ECOPAIS Y DIESEL PARA LOS VEHICULOS Y MOTOCICLETAS POLICIALES DE LA UNIPEN-ZONA 9 DMG Y VEHÍCULOS DE COMISIÓN,En Curso,2021-09-17 17:00:00,MINISTERIO DE GOBIERNO-DINAF,CALLE SANTA PRISCA Y MANUEL LARREA,"Funcionario Encargado: CBOS. JHONATAN ALQUINGA
Email: dinapenquito.p4@policia.gob.ec"
6,NIC-0160000190001-2021-40560,2021-09-14 12:17:00,AZUAY - CUENCA,repuestos varios,Finalizada,2021-09-15 12:18:00,Gobierno Provincial del Azuay,Av. Max Uhle frente a la Empresa Eléctrica,"Funcionario Encargado: Diego Valencia A.
Email: dvalencia@azuay.gob.ec"
7,NIC-0160025420001-2021-40058,2021-09-14 12:16:00,AZUAY - CUENCA,"Adquisición de ropa de trabajo, para el personal de cuadrilla de mantenimiento vial",Finalizada,2021-09-15 12:25:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE BAÑOS,"Av. Ricardo Durán, frente a la iglesia de Baños","Funcionario Encargado: Maribel Zhagui
Email: mary-ars@hotmail.com"
8,NIC-1060028000001-2021-40018,2021-09-14 12:16:00,IMBABURA - ANTONIO ANTE,ADQUISICION DE MEDICAMENTOS,En Curso,2021-09-17 12:17:00,CENTRO DE SALUD B ATUNTAQUI,Calle General Enriquez 1646 y Atahualpa,"Funcionario Encargado: DRA SANDRA CASTRO
Email: sandra.castro@iess.gob.ec"
9,NIC-0160034410001-2021-40046,2021-09-14 12:15:00,AZUAY - PAUTE,COMPRA DE COMBUSTIBLE PARA RETROEXCAVADORA,Finalizada,2021-09-15 12:30:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL TOMEBAMBA,CENTRO PARROQUIAL DE TOMEBAMBA,"Funcionario Encargado: ESTHELA RIERA
Email: gadparroquialdetomebamba@hotmail.com"
