,Código Necesidad,Fecha_Public,Provincia,Descripción Necesidad,Status,Fecha limite,EntidadContrato,Dir_Entrega,Contacto
0,NIC-0160023480001-2021-40038,2021-09-13 14:55:00,AZUAY - CUENCA,ADQUISICION DE REPUESTOS Y ACCESORIOS PROYECTO DE IRRIGACION PARCELARIA DIRECCION DISTRITAL AZUAY-MAG,Finalizada,2021-09-14 14:56:00,DIRECCIÓN DISTRITAL 01D01- PARROQUIAS URBANAS MACHÁNGARA A BELLAVISTA Y PARROQUIAS RURALES NULTI A SAYAUSI - MAG,ANTONIO VEGA MUÑOZ 2-40 Y TOMAS ORDOÑEZ,"Funcionario Encargado: ABG. DIANA AUQUILLA
Email: dauquilla@mag.gob.ec"
1,NIC-0992441127001-2021-40040,2021-09-13 14:53:00,GUAYAS - GUAYAQUIL,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE PURIFICADORES DE AIRE,Finalizada,2021-09-14 15:00:00,Corporacion Registro Civil de Guayaquil,CDLA MARTHA DE ROLDOS MZ 139 SOLAR 2,"Funcionario Encargado: Econ. Paul Perez Puga
Email: PPEREZ@CRCG.GOB.EC-DINTRIAGO@CRCG.GOB.EC"
2,NIC-1560500670001-2021-40108,2021-09-13 14:51:00,NAPO - TENA,ADQUISICIÓN DE DISPOSITIVOS MÉDICOS USADOS PARA LA ADMINISTRACIÓN DE MEDICAMENTOS Y OBTENCIÓN DE SANGRE PARA CUBRIR LA EMERGENCIA SANITARIA POR COVID,Finalizada,2021-09-14 15:00:00,HOSPITAL JOSE MARIA VELASCO IBARRA DE TENA,AV. 15 DE NOVIEMBRE Y ELOY ALFARO,"Funcionario Encargado: YISEÑA CABRERA
Email: hjmvicompras@gmail.com"
3,NIC-1360053910001-2021-40009,2021-09-13 14:50:00,MANABI - CHONE,ADQUISICION DE 6 LLANTAS PARA LA UNIDAD FORD HORTON CON DENOMINACION INSTITUCIONAL U-A1,Finalizada,2021-09-15 10:33:00,CUERPO DE BOMBEROS DE CHONE,CALLE BOLIVAR ENTRE SUCRES Y SALINAS,"Funcionario Encargado: Lcda. Nataly Zambrano Hidalgo
Email: bomberoschone@hotmail.com"
4,NIC-1768181150001-2021-40194,2021-09-13 14:50:00,PICHINCHA - QUITO,SERVICIO DE MANTENIMIENTO PREVENTIVO PARA LOS GENERADORES ELÉCTRICOS,Finalizada,2021-09-16 13:44:00,HOSPITAL GENERAL DOCENTE DE CALDERON,DERBY Y GIOVANNY CALLES,"Funcionario Encargado: ING. DAVID TAMAYO
Email: proformas.calderon@gmail.com"
5,NIC-1860001100001-2021-40117,2021-09-13 14:50:00,TUNGURAHUA - TISALEO,ADQUIRIR MANTENIMIENTO DE LA CAMIONETA TOYOTA,Finalizada,2021-09-14 16:38:00,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON TISALEO,17 DE NOVIEMBRE Y CACIQUE TISALEO,"Funcionario Encargado: ING. CARLOS YUGCHA
Email: carlos.yugcha@tisaleo.gob.ec"
6,NIC-1768011580001-2021-40008,2021-09-13 14:50:00,ESMERALDAS - SAN LORENZO,"ADQUISICIÓN DE COMPUTADORAS PORTÁTILES Y DE ESCRITORIO, PARA LA ESTACIÓN NAVAL DE SAN LORENZO Y EL BATALLÓN DE INFANTERIA N 11 DE SAN LORENZO",Finalizada,2021-09-14 15:01:00,ESTACION NAVAL DE SAN LORENZO,CALLE ANDARELE,"Funcionario Encargado: SGOP-IF JORGE BOHORQUEZ MARQUEZ
Email: jbohorquez@armada.mil.ec"
7,NIC-1768052340001-2021-40052,2021-09-13 14:47:00,GUAYAS - MILAGRO,"ADQUISICIÓN DE GASOLINA SÚPER CON UNA ESTACIÓN DE SERVICIO PARA LOS VEHÍCULOS POLICIALES MARCA MAZDA DE LA DINAF, UNIVIF GUAYAS-MILAGRO",Finalizada,2021-09-16 14:47:00,MINISTERIO DE GOBIERNO-DINAF,AV. 17 DE SEPTIEMBRE Y AV. COLON,"Funcionario Encargado: CBOS. JHONATAN ALQUINGA
Email: dinapenquito.p4@policia.gob.ec"
8,NIC-0660820670001-2021-40006,2021-09-13 14:45:00,CHIMBORAZO - ALAUSI,ADQUISICIÓN DE AYUDAS TÉCNICAS PARA PERSONAS CON DISCAPACIDAD Y DIFICULTAD DE MOVILIZACIÓN DE ESCASOS RECURSOS ECONÓMICOS,En Curso,2021-09-17 14:04:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE HUIGRA,Calle Guayaquil S/N detrás de la Estación del Tren,"Funcionario Encargado: Esteban Sebastian Moeller Esterilla
Email: gadphuigra@hotmail.com - maribelochoa_01@live.com"
9,NIC-1768159730001-2021-40008,2021-09-13 14:45:00,PICHINCHA - PUERTO QUITO,ADQUIRIR 3 VUELOS DE AVIÓN IDA Y VUELTA A LA PROVINCIA DE GALÁPAGOS PARA LOS SERVIDORES DEL REGISTRO DE LA PROPIEDAD QUE VAN A PARTICIPAR EN EL CONGR,Finalizada,2021-09-14 14:50:00,REGISTRO DE LA PROPIEDAD DE PUERTO QUITO,CALLE PEDRO VICENTE MANDONADO #212 Y EUGENIO ESPEJO,"Funcionario Encargado: JIMMY JULIAN MICOLTA QUINTERO
Email: jmicolta@registropropiedadpuertoquito.gob.ec"
