,Código Necesidad,Fecha_Public,Provincia,Descripción Necesidad,Status,Fecha limite,EntidadContrato,Dir_Entrega,Contacto
0,NIC-0160025770001-2021-40039,2021-09-16 17:38:00,AZUAY - CUENCA,SERVICIOS PROFECIONALES,En Curso,2021-09-20 17:24:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE SANTA ANA,SANTA ANA VIA AL CEMENTERIO,"Funcionario Encargado: Sra. Luz León
Email: jp@santana.gob.ec"
1,NIC-0160001590001-2021-40070,2021-09-16 17:35:00,AZUAY - PUCARA,REQUERIMIENTO DE BATERIAS PARA EL TRACTOR TIPO ORUGA CATERPILLAR MODELO D6TDS MEMORANDO NRO. GADMP-DOP-2021-0845-M,En Curso,2021-09-17 17:40:00,Municipio de Pucara,LEON FEBRES CORDERO Y DANIEL BRITO,"Funcionario Encargado: ING.NELSON BRAVO CALLE
Email: n.bravo@gadmpucara.gob.ec"
2,NIC-1865016750001-2021-40018,2021-09-16 17:33:00,TUNGURAHUA - SANTIAGO DE PILLARO,MATERIAL DE OFICINA,En Curso,2021-09-20 17:30:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE SAN ANDRES DE PILLARO,AV 7 DE JULIO,"Funcionario Encargado: SILVIA ROCIO TIPANTIZA TOAPANTA
Email: silvia.toapanta.r@gmail.com"
3,NIC-1760002280001-2021-40034,2021-09-16 17:32:00,PICHINCHA - QUITO,RENOVACIÓN SUSCRIPCIÓN DE REVISTA VISTAZO,En Curso,2021-09-17 19:22:00,PROCURADURIA GENERAL DEL ESTADO,"Procuraduría General del Estado, ciudad Quito, Av. Amazonas N39-123 y Arízaga, Edificio Amazonas Plaza, en la planta baja.","Funcionario Encargado: Lic. Vanessa Acuña
Email: vanessa.acuna@pge.gob.ec"
4,NIC-1560500670001-2021-40117,2021-09-16 17:32:00,NAPO - TENA,Adquicision de dispositivos médicos grupo 4,En Curso,2021-09-20 17:00:00,HOSPITAL JOSE MARIA VELASCO IBARRA DE TENA,AV. 15 DE NOVIEMBRE Y ELOY ALFARO,"Funcionario Encargado: CRISTINA CEPEDA
Email: crisstthy@yahoo.es"
5,NIC-0660001090001-2021-40055,2021-09-16 17:30:00,CHIMBORAZO - PALLATANGA,"AQUISICION DE EQUIPOS DE TELEFONIA IP, IMPLEMENTACION Y CONFIGURACION DEL SISITEMA DE COMUNICACIONES DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL D",En Curso,2021-09-17 17:31:00,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE PALLATANGA,MARISCAL SUCRE S/N Y 24 DE MAYO,"Funcionario Encargado: ING. INGRID SEGARRA
Email: compras.publicas@pallatanga.gob.ec"
6,NIC-1360028720001-2021-40031,2021-09-16 17:30:00,MANABI - SANTA ANA,Adquisición e instalación de materiales eléctricos para mejoramiento del alumbrado de canchas de uso múltiple de la parroquia Ayacucho.,En Curso,2021-09-17 17:32:00,GOBIERNO PARROQUIAL DE AYACUCHO,CALLE SUCRE S/N Y ELOY ALFARO,"Funcionario Encargado: LIC. YANETH CEVALLOS GARCIA
Email: jpayacucho09@yahoo.es"
7,NIC-1160004230001-2021-40021,2021-09-16 17:30:00,LOJA - PUYANGO,ADQUISICIÓN DE RETINOL VITAMINA A SÓLIDO ORAL CÁPSULAS BLANDAS,En Curso,2021-09-20 17:30:00,DIRECCION DISTRITAL 11D04-CELICA-PINDAL-PUYANGO-SALUD,"CALLES, RIO AMAZONAS Y GUAYAQUIL","Funcionario Encargado: BQF. MARCO RODRIGO ROSILLO SUAREZ
Email: mdalamor@gmail.com"
8,NIC-1360055450001-2021-40014,2021-09-16 17:30:00,MANABI - PORTOVIEJO,ADQUISICIÓN DE REPUESTOS PARA LOS VEHÍCULOS DE LA FISCALÍA DE MANABÍ,En Curso,2021-09-21 16:17:00,FISCALIA DE MANABI,OLMEDO entre SUCRE y CÓRDOVA,"Funcionario Encargado: Ing. Jessica Alexandra Macías Suárez
Email: maciassj@fiscalia.gob.ec"
9,NIC-0160001590001-2021-40069,2021-09-16 17:30:00,AZUAY - PUCARA,REQUERIMIENTO DE REPUESTOS PARA VOLQUETE HINO GH MODELO GH1JGSD AÑO 2003 MEMORANDO NRO. GADMP-DOP-2021-0791-M,En Curso,2021-09-17 17:40:00,Municipio de Pucara,LEON FEBRES CORDERO Y DANIEL BRITO,"Funcionario Encargado: ING.NELSON BRAVO CALLE
Email: n.bravo@gadmpucara.gob.ec"
