,Código Necesidad,Fecha_Public,Provincia,Descripción Necesidad,Status,Fecha limite,EntidadContrato,Dir_Entrega,Contacto
0,NIC-0260000410001-2021-40097,2021-09-14 17:15:00,BOLIVAR - CHILLANES,ADQUISICION DE LIBRETINES Y PAPEL TROQUELADO,Finalizada,2021-09-15 18:00:00,Gobierno Autónomo Descentralizado Municipal del Cantón Chillanes,GUAYAS 352 Y ENRIQUE VILLAGOMEZ,"Funcionario Encargado: DR. RICHARD MANZANO F
Email: compraspublicas2021@chillanes.gob.ec"
1,NIC-0968599020001-2021-40225,2021-09-14 17:15:00,SANTA ELENA - LA LIBERTAD,SERVICIO DE INSTALACION DE POLICARBONATO COMPACTO EN MOBILIARIO DE AGENCIA LA LIBERTAD Y REPARACION DE CARPAS PARA LA CNEL EP UNIDAD DE NEGOCIO STE,Finalizada,2021-09-16 17:08:00,EMPRESA ELÉCTRICA PÚBLICA ESTRATÉGICA CORPORACIÓN NACIONAL DE ELECTRICIDAD CNEL EP,"BR. GENERAL ENRIQUEZ GALLO, AVDA. 12 ENTRE CALLES 33 Y 35","Funcionario Encargado: GIANELLA YAGUAL RAMIREZ
Email: gianella.yagual@cnel.gob.ec"
2,NIC-0968606840001-2021-40073,2021-09-14 17:15:00,GUAYAS - GUAYAQUIL,CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO CORRECTIVO E INCLUYE REPUESTOS PARA PLANTA DE ÓSMOSIS DEL HGNGC,Finalizada,2021-09-17 09:00:00,HOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS,"AV. DEL BOMBERO S/N y KM 6,5 VIA A LA COSTA","Funcionario Encargado: DARWIN ANTONIO SAMANIEGO VÉLEZ
Email: cotizacionesceibos3@iess.gob.ec"
3,NIC-0560022270001-2021-40012,2021-09-14 17:15:00,COTOPAXI - LA MANA,CONTRATACION DE POLIZA DE SEGURO DE FIDELIDAD PUBLICA TIPO BLANKET PARA EL PERSONAL QUE LABORA EN EL CUERPO DE BOMBEROS DE LA MANA,Finalizada,2021-09-15 17:16:00,CUERPO DE BOMBEROS DEL CANTON LA MANA,AV. BENJAMIN SARABIA Y LA PISTA,"Funcionario Encargado: JEFFERSON SOLIS
Email: bomberoslamana_uath@hotmail.com"
4,NIC-0860015270001-2021-40008,2021-09-14 17:14:00,ESMERALDAS - ELOY ALFARO,organizacion de evento cultural por fundacion de la parroquia,Finalizada,2021-09-16 17:15:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE TIMBIRE,timbire,"Funcionario Encargado: fabricio ante
Email: r.alexandra30@yahoo.com"
5,NIC-1768132450001-2021-40074,2021-09-14 17:10:00,-,ADQUISICIÓN DE ANTISÉPTICOS CUTÁNEOS PARA EL HOSPITAL DEL DÍA SANGOLQUI,Finalizada,2021-09-16 17:10:00,CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA SANGOLQUI,Atahualpa Y Florida,"Funcionario Encargado: Mgs. Martha Basantez
Email: proformashds@iess.gob.ec"
6,NIC-1360025460001-2021-40006,2021-09-14 17:10:00,MANABI - PORTOVIEJO,SERVICIO DE MONTAJE Y DESMONTAJE CON ARMADO DE BOMBA EN TANQUE DE PRESION,Finalizada,2021-09-15 17:11:00,Junta Parroquial Pueblo Nuevo,CALLE SAN ROQUE Y 21 DE OCTUBRE ESQUINA,"Funcionario Encargado: ING. GINA SOLIMAR GARCIA BASURTO
Email: secretaria-tesorera-gadprpn@outlook.es"
7,NIC-1768053820001-2021-40012,2021-09-14 17:10:00,PICHINCHA - QUITO,CONTRATACIÓN DEL SERVICIO DE LAVADO DE VEHICULOS PARA EL SCPN,En Curso,2021-09-20 10:00:00,POLICIA NACIONAL SERVICIO DE CESANTIA,9 de Octubre N29-24 y Av. Eloy Alfaro,"Funcionario Encargado: Ing. Katerine Noemí Paucar Flores
Email: kpaucarf@cesantiapn.com.ec"
8,NIC-0660000520001-2021-40119,2021-09-14 17:09:00,CHIMBORAZO - COLTA,CONTRACION DE SERVICIOS DE UN DIARIO REGIONAL PARA LA PUBLICACION DE LA RESOLUCION ADMINISTRATIVA No. 00038-AL-GAMCC-2021,Finalizada,2021-09-15 17:10:00,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON COLTA,GORIBAR Y DOS DE AGOSTO,"Funcionario Encargado: RAUL BALLA REA
Email: comprascolta@gmail.com"
9,NIC-0160035220001-2021-40011,2021-09-14 17:07:00,AZUAY - SIGSIG,"Alquiler de maquinaria para limpieza, vías de tercer orden dentro de la parroquia Güel",Finalizada,2021-09-16 17:07:00,GOBIERNO AUTONOMO DESCENTRALIZADO DE GÜEL,Nicolás Escandón y Antonio Guzmán,"Funcionario Encargado: Ing. Lida Tello Castro
Email: gobiernoparroquialguel@yahoo.com"
