,Código Necesidad,Fecha_Public,Provincia,Descripción Necesidad,Status,Fecha limite,EntidadContrato,Dir_Entrega,Contacto
0,NIC-1160001130001-2021-40044,2021-09-14 13:30:00,LOJA - SARAGURO,ADQUISICIÓN DE MATERIALES DE ARTESANIA PARA MICRO EMPRENDIMIENTOS DE LOS PROYECTOS DE ATENCION EN EL HOGAR Y LA COMUNIDAD Y ERRADICACION DEL TRABAJO I,Finalizada,2021-09-15 15:00:00,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL INTERCULTURAL DE SARAGURO,JOSE MARIA VIVA S/N Y SUCRE,"Funcionario Encargado: RICHAR CALI GONZALEZ
Email: proveeduriagadmis@gmail.com"
1,NIC-1860000130001-2021-40200,2021-09-14 13:30:00,TUNGURAHUA - AMBATO,RENOVACIÓN LICENCIAMIENTO DBTOOL,Finalizada,2021-09-16 13:22:00,GOBIERNO PROVINCIAL DE TUNGURAHUA,El servicio que se requiere se deberá instalar remotamente en el servidor dispuesto para el efecto en los Talleres del H. GOBIERNO PROVINCIAL DE TUNGURAHUA ubicado en Catiglata,"Funcionario Encargado: Lourdes Gutierrez
Email: lourdes.gutierrez@tungurahua.gob.ec"
2,NIC-1768132450001-2021-40065,2021-09-14 13:30:00,PICHINCHA - RUMIÑAHUI,Adquisición de Dexametasona líquido parenteral 4 mg/2ml para el Hospital del Día Sangolqui,Finalizada,2021-09-16 13:30:00,CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA SANGOLQUI,Atahualpa Y Florida,"Funcionario Encargado: Tnlga. Fernanda Pillajo
Email: proformashds@iess.gob.ec"
3,NIC-1768123110001-2021-40045,2021-09-14 13:30:00,PICHINCHA - QUITO,MANTENIMIENTO CAMIONETA MAZDA BT50 4X4 - PEA4501,Finalizada,2021-09-15 17:30:00,Junta Parroquial de Yaruqui,ELOY ALFARO E1-52 E ISIDRO AYORA,"Funcionario Encargado: MAGDALENA DURAN
Email: juntaparroquialyaruqui@andinanet.net"
4,NIC-0760000930001-2021-40097,2021-09-14 13:30:00,EL ORO - PORTOVELO,materiales de ferreteria,Finalizada,2021-09-16 15:23:00,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE PORTOVELO,Calle Gonzalo Diaz y avda el artesano diagonal a la iglesia del consuelo,"Funcionario Encargado: Ing Luis Bravo
Email: compraspublicasportovelo@outlook.es"
5,NIC-1768128420001-2021-40023,2021-09-14 13:29:00,PICHINCHA - PEDRO MONCAYO,Tres cupos para el curso preparación y simulación para la Certificacion del SERCOP-2021,Finalizada,2021-09-16 13:29:00,CUERPO DE BOMBEROS DE PEDRO MONCAYO,Panamericana Norte Nro 02-05-005 y Calle Quito,"Funcionario Encargado: Ab. Sandra Díaz
Email: smargothdiaz@hotmail.com"
6,NIC-1768132450001-2021-40064,2021-09-14 13:25:00,PICHINCHA - RUMIÑAHUI,Adquisición de Prednisona sólido oral 5 mg el Centro Clínico Quirúrgico Ambulatorio Hospital del Día Sangolquí,En Curso,2021-09-17 13:25:00,CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA SANGOLQUI,Atahualpa Y Florida,"Funcionario Encargado: Tnlga. Fernanda Pillajo
Email: proformashds@iess.gob.ec"
7,NIC-2160000480001-2021-40099,2021-09-14 13:24:00,SUCUMBIOS - CASCALES,REBOBINAJE DE LA BOMBA HORIZONTAL,Finalizada,2021-09-15 13:25:00,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE CASCALES,AV. Quito entre Azuay y Bolívar.,"Funcionario Encargado: Nelson Ramiro Rodríguez Armijo.
Email: proveedorcascales@gmail.com"
8,NIC-0968599020001-2021-40222,2021-09-14 13:24:00,GUAYAS - DURAN,"""ADQUISICIÓN DE COMPONENTES BASE Y SOLIDIFICANTE PARA CORREGIR FUGA DE ACEITE EN TRANSFORMADORES DE PODER 69/13.8 Kv. EN UNIDAD DE NEGOCIO GUAYAS LOS",Finalizada,2021-09-16 12:24:00,EMPRESA ELÉCTRICA PÚBLICA ESTRATÉGICA CORPORACIÓN NACIONAL DE ELECTRICIDAD CNEL EP,Av Jaime Nebot y Av. Nicolas Lapentti entre Estadio Sandiford y Gasolinera Mobil,"Funcionario Encargado: Ab. Patricia Badillo Saltos
Email: patricia.badillo@cnel.gob.ec"
9,NIC-0968504920001-2021-40146,2021-09-14 13:24:00,GUAYAS - GUAYAQUIL,ADQUISICIÓN DE DISPOSITIVOS MEDICOS,Finalizada,2021-09-16 13:24:00,HOSPITAL MATILDE HIDALGO DE PROCEL,Av-12 A S-E entre 54C S-E Fernando López L. Calle 54B y 2da Peatonal.,"Funcionario Encargado: YOMAYRA HIDALGO SALAZAR
Email: proveeduria021@gmail.com"
