,Código Necesidad,Fecha_Public,Provincia,Descripción Necesidad,Status,Fecha limite,EntidadContrato,Dir_Entrega,Contacto
0,NIC-1768097950001-2021-40071,2021-09-16 12:00:00,PICHINCHA - QUITO,READECUACIÓN ELÉCTRICA DE LOS CONTENEDORES UTILIZADOS PARA EL CABEZAL O TRACTO CAMIÓN,En Curso,2021-09-21 12:00:00,CUERPO DE BOMBEROS DEL DISTRITO METROPOLITANO DE QUITO,Isla San Cristóbal N44-94 y Río Coca,"Funcionario Encargado: Ing. Santiago Zambrano R.
Email: sjzambrano@bomberosquito.gob.ec"
1,NIC-0560015220001-2021-40010,2021-09-16 12:00:00,COTOPAXI - LATACUNGA,FILTROS,En Curso,2021-09-23 12:00:00,DIRECCION DISTRITAL 05D01 LATACUNGA-COTOPAXI-MTOP,GABRIELA MISTRAL Y SANCHEZ DE ORELLANA,"Funcionario Encargado: ING .MARCO KAROLYS
Email: karmotors@hotmail.com"
2,NIC-0560007550001-2021-40015,2021-09-16 12:00:00,COTOPAXI - LATACUNGA,"CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO DE PUERTAS, VENTANAS DE ALUMINIO Y CAMBIO DE VIDRIOS EN LAS INSTALACIONES DE LAS UNIDADES OPERATIVAS",En Curso,2021-09-20 23:59:00,DIRECCION DISTRITAL 05D01-LATACUNGA-SALUD,UNIDADES OPERATIVAS DEL DISTRITO LATACUNGA-SEGUN TERMINOS DE REFERNCIA,"Funcionario Encargado: ING. DARWIN JIMENEZ
Email: compraspublicas.05d01@gmail.com"
3,NIC-1160033760001-2021-40006,2021-09-16 12:00:00,LOJA - SARAGURO,Servicio de Alimentación,En Curso,2021-09-17 13:00:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL LLUZHAPA,Calle Mariano Romero y Vicente Ortega,"Funcionario Encargado: Edwin Bolivar Ordoñez Fierro
Email: juntalluzhapa2009@hotmail.com"
4,NIC-1768013010001-2021-40021,2021-09-16 12:00:00,PICHINCHA - QUITO,"CONTRATACIÓN DEL SERVICIO DE ARRENDAMIENTO DE PARQUEADERO, PARA USO DEL BUS INTERNACIONAL DE PLACAS PEC-7708 PERTENECIENTE A LA DIRACE, DEL RECORRIDO",En Curso,2021-09-17 16:30:00,DIRECCION DE LA ADMINISTRACION CENTRAL,E2 LA EXPOSICION S4-71 Y VELA,"Funcionario Encargado: Pablo Silva Calvache
Email: cpdirace2021@hotmail.com"
5,NIC-1660000330001-2021-40042,2021-09-16 12:00:00,PASTAZA - MERA,ELABORACION DE LIBRETINES DE ORDEN DE COMBUSTIBLE,En Curso,2021-09-21 12:00:00,GOBIERNO MUNICIPAL DE MERA,AV. LUIS A. MARTINEZ Y SUCRE. BODEGA MUNICIPAL,"Funcionario Encargado: JIANIANO ALEXANDER SILVA HACHI
Email: recepcion_infimas@municipiomera.gob.ec"
6,NIC-0460000640001-2021-40179,2021-09-16 12:00:00,CARCHI - MONTUFAR,CONTRATACION DE ARTISTAS PARA ACTIVIDAD DE FESTIVAL DE LA JUVENTUD MONTUFAREÑA,En Curso,2021-09-20 12:00:00,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE MONTUFAR,Sucre 03-61 y Bolivar,"Funcionario Encargado: sANTIAGO ENRIQUEZ
Email: santiago.enriquez@gadmontufar.go.ec"
7,NIC-0968560400001-2021-40036,2021-09-16 12:00:00,SANTA ELENA - SANTA ELENA,ADQUISICION DE ALIMENTOS CARNICOS PARA EL HOSPITAL BÁSICO ANCON,En Curso,2021-09-17 15:39:00,HOSPITAL BASICO ANCON,ANCON BARRIO OTAVALO CALLE OTAVALO,"Funcionario Encargado: ING. DARWIN ROSARIO VERA
Email: darwin.rosario@iess.gob.ec"
8,NIC-1360000390001-2021-40065,2021-09-16 12:00:00,MANABI - BOLIVAR,ADQUISICIÓN DE HERRAMIENTAS PARA EL GOBIERNO AUTÓNOMO DESCENTRALIZADO DEL CANTÓN BOLÍVAR,En Curso,2021-09-17 12:01:00,Municipio de Bolívar,CALLE CHILE Y CALLEJÓN MARIA VICTORIA AVELLÁN,"Funcionario Encargado: Lic. Silvio Larrea Morerira
Email: silviolarrea09@gmail.com"
9,NIC-1160034060001-2021-40013,2021-09-16 12:00:00,ZAMORA CHINCHIPE - PALANDA,"Poliza de Fidelidad Publica tipo Blanket, Valor Asegurado $ 23,120.40 para el GAD Parroquial Rural El Porvenir del Carmen",En Curso,2021-09-17 12:01:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL EL PORVENIR DEL CARMEN,AV.EL PORVENIR Y LOS LAURELES,"Funcionario Encargado: Ing. Fernando Jaramillo
Email: gadporvenirc27102000@hotmail.com"
