,Código Necesidad,Fecha_Public,Provincia,Descripción Necesidad,Status,Fecha limite,EntidadContrato,Dir_Entrega,Contacto
0,NIC-1160033760001-2021-40004,2021-09-14 16:00:00,LOJA - SARAGURO,"adhesivos, afiches, lonas",Finalizada,2021-09-15 17:00:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL LLUZHAPA,Calle Mariano Romero y Vicente Ortega,"Funcionario Encargado: Edwin Bolivar Ordoñez Fierro
Email: juntalluzhapa2009@hotmail.com"
1,NIC-1768011900001-2021-40064,2021-09-14 16:00:00,GUAYAS - GUAYAQUIL,Servicio de recarga de extintores,Finalizada,2021-09-15 16:01:00,BASE NAVAL NORTE,Av. Pedro Menéndez Gilbert en la Base Naval Norte,"Funcionario Encargado: CBOS-AB BERREZUETA PLAZA STEFFY
Email: ucpbasnor@armada.mil.ec"
2,NIC-1460019200001-2021-40027,2021-09-14 16:00:00,MORONA SANTIAGO - SUCUA,Adquisición de Insumos de limpieza,Finalizada,2021-09-15 17:00:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL DE SANTA MARIANITA DE JESUS,Km. 5 vía Sucua -Macas,"Funcionario Encargado: Jenny Cabrera
Email: jpsantamarianita@hotmail.com"
3,NIC-0260000170001-2021-40143,2021-09-14 16:00:00,BOLIVAR - GUARANDA,ADQUISICIÓN DE RESMAS DE PAPEL TAMAÑO A3 PARA LA IMPRESIÓN DE GRAFICOS Y PLANOS PARA LA SECRETARIA DE VIALIDAD,Finalizada,2021-09-16 16:59:00,GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PROVINCIA BOLIVAR,Av. Candido rada 101 y 9 de Abril,"Funcionario Encargado: Lic. Orlando Lombeida
Email: comprasgadpb.ol@gmail.com"
4,NIC-1768011230001-2021-40048,2021-09-14 16:00:00,GUAYAS - GUAYAQUIL,"SERVICIO DE SERIGRAFIA PARA ACTOS Y EVENTOS INTERNACIONALES DE LA ""VIII CONFERENCIA NAVAL INTERAMERICANA ESPECIALIZADA EN CIENCIA, TECNOLOGÍA E INNOVA",Finalizada,2021-09-15 16:05:00,DIGMAT,BASE NAVAL SUR- AV. DE LA MARINA,"Funcionario Encargado: ERICKA GAVILANEZ NOBOA
Email: ucpcompraslocales@armada.mil.ec"
5,NIC-1768097950001-2021-40068,2021-09-14 16:00:00,PICHINCHA - QUITO,ADQUISICIÓN DE MESAS PARA OPERACIONES Y ACTIVIDADES QUIRÚRGICAS DE LA UNIDAD CANINA,Finalizada,2021-09-16 17:00:00,CUERPO DE BOMBEROS DEL DISTRITO METROPOLITANO DE QUITO,Av. Veintimilla E5-66 Y Reina Victoria,"Funcionario Encargado: Lucia Zurita
Email: lzurita@bomberosquito.gob.ec"
6,NIC-1360053400001-2021-40006,2021-09-14 16:00:00,MANABI - SUCRE,ADQUISICIÓN DE REPUESTOS Y ACCESORIOS PARA LAS AMBULANCIAS MERCEDES BENZ Y VOLKSWAGEN CRAFTER DEL CSC BAHÍA,Finalizada,2021-09-15 16:05:00,CENTRO DE SALUD C-MATERNO INFANTIL Y EMERGENCIA-BAHIA DE CARAQUEZ,LEONIDAS PLAZA CALLES JUAN CHAVEZ MEZA Y EFRAIN CENTENO JUNTO A LA LIGA CANTONAL SUCRE IESS BAHÍA DE CARÁQUEZ,"Funcionario Encargado: MARIA ROLDAN
Email: maria.roldan@iess.gob.ec"
7,NIC-0460000640001-2021-40176,2021-09-14 16:00:00,CARCHI - MONTUFAR,ADQUISICION DE EQUIPOS DE LIMPIEZA,Finalizada,2021-09-15 16:30:00,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE MONTUFAR,Sucre 03-61 y Bolivar,"Funcionario Encargado: LIZBETH GUERRA
Email: lizbeth.guerra@gadmontufar.gob.ec"
8,NIC-0960002190001-2021-40076,2021-09-14 16:00:00,GUAYAS - BALAO,CREACIÓN DE PÁGINA WEB PARA EL GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DE BALAO,Finalizada,2021-09-15 16:01:00,MUNICIPIO DE BALAO,COMERCIO #205 Y 5 DE JUNIO,"Funcionario Encargado: ING. ELVA NOEMI AGUILAR GRANDA
Email: eaguilar@municipiodebalao.gob.ec"
9,NIC-0968520100001-2021-40028,2021-09-14 16:00:00,GUAYAS - GUAYAQUIL,Contratacion del Servicio de Abastecimiento de Combustible tipo gasolina super eco pais y diesel para los vehiculos asignados al parque automotor,Finalizada,2021-09-16 16:00:00,MINISTERIO DEL INTERIOR HOSPITAL DE LA POLICIA NACIONAL GUAYAQUIL # 2,Av. de la Americas y Calle Ernesto Noboa Caamaño,"Funcionario Encargado: Sonia Martinez Rivera
Email: compraspublicashdpng2@gmail.com"
