,Código Necesidad,Fecha_Public,Provincia,Descripción Necesidad,Status,Fecha limite,EntidadContrato,Dir_Entrega,Contacto
0,NIC-2160059880001-2021-40043,2021-09-17 16:38:00,SUCUMBIOS - LAGO AGRIO,Compra de material de aseo para educadoras CNH,En Curso,2021-09-20 20:26:00,DIRECCION DISTRITAL 21D02 - LAGO AGRIO - MIES,CALLE CIRCUNVALACION Y MONSEÑOR GONZALO LOPEZ MARAÑON,"Funcionario Encargado: ING. KATERINE VALDEZ GIL
Email: katerine.valdez@inclusion.gob.ec"
1,NIC-1060014720001-2021-40067,2021-09-17 16:37:00,IMBABURA - OTAVALO,ADQUISICION DE MATERIALES DE CONSTRUCCION PARA USO DEL GAD SAN PABLO,En Curso,2021-09-20 16:40:00,JUNTA PARROQUIAL SAN PABLO DE LAGO,CHIRIBOGA Y ABDON CALDEDRON,"Funcionario Encargado: MBA: José Narváez-Mónica Campos
Email: juntasanpablo@yahoo.es"
2,NIC-2260015490001-2021-40060,2021-09-17 16:37:00,ORELLANA - AGUARICO,ADQUISICION DE MEDICAMENTO ANTIDOTOS,En Curso,2021-09-21 16:37:00,DIRECCION DISTRITAL 22D03 - AGUARICO - SALUD,CALLE FRANCISCO DE ORELLANA Y JULIO SAN MIGUEL A 10 HORAS DE A CIUDAD DEL COCA VIA FLUVIAL,"Funcionario Encargado: Bqf. Alex Jiménez
Email: alexleo14jh@yahoo.com"
3,NIC-1160004660001-2021-40222,2021-09-17 16:36:00,LOJA - LOJA,DISPOSITIVOS MEDICOS PARA CIRUGIA,En Curso,2021-09-24 12:00:00,HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA,AV. MANUEL AGUSTIN AGUIRRE,"Funcionario Encargado: Mgs.Germania Espinoza Aguirre
Email: gespinoza.compras.hial@gmail.com"
4,NIC-1865019340001-2021-40033,2021-09-17 16:35:00,TUNGURAHUA - BAÑOS DE AGUA SANTA,ADQUISICIÓN DE TRAJES Y MATERIALES DE BIOSEGURIDAD PARA EL COVNENIO MIES ETI,En Curso,2021-09-20 17:00:00,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE ULBA,CALLE REAL Y LEON MARIA VIEIRA,"Funcionario Encargado: JESSICA GUEVARA
Email: juntaulba@gmail.com"
5,NIC-0760001230001-2021-40015,2021-09-17 16:35:00,EL ORO - MARCABELI,DIFUCION INFORMACION Y PUBLICIDAD,En Curso,2021-09-21 15:35:00,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON MARCABELI,BATALLON IMBABURA Y SERVIO CORDOVA,"Funcionario Encargado: MARIA JOSE ESPINOSA
Email: compras.publicas@marcabeli.gob.ec"
6,NIC-1360007720001-2021-40011,2021-09-17 16:35:00,MANABI - JIPIJAPA,MANTENIMIENTO PREVENTIVO /CORRECTIVO DE EQUIPOS BIOMÉDICOS DEL HOSPITAL JIPIJAPA,En Curso,2021-09-21 16:35:00,Hospital General Jipijapa,12 DE OCTUBRE Y EUGENIO ESPEJO,"Funcionario Encargado: LIC. JACQUELINE MARTINEZ SALTOS
Email: jacmarsal110989@hotmail.com"
7,NIC-0160049870001-2021-40027,2021-09-17 16:35:00,AZUAY - GIRON,ADQUISICION DE REPUESTOS,En Curso,2021-09-20 16:24:00,Empresa Pública Municipal Mancomunada de Aseo Integral de la Cuenca del Jubones,LUCIANO VALLEJO Y 29 DE ENERO,"Funcionario Encargado: LOURDES ARPI
Email: lourdesarpi@hotmail.com"
8,NIC-0160034250001-2021-40013,2021-09-17 16:35:00,AZUAY - SANTA ISABEL,SERVICIOS DE ACTUALIZACION DE LA PAGINA WEB DE LA INSTITUCION Y SU MANTENIMIENTO,En Curso,2021-09-20 16:37:00,Junta Parroquial de Shaglli,9 De Abril Y Mirador,"Funcionario Encargado: Arq. Edisson Maxi
Email: edissonmaxi1991@gmail.com, jpshaglli@hotmail.com"
9,NIC-1768116250001-2021-40011,2021-09-17 16:35:00,PICHINCHA - QUITO,Contratación Anual de un medio de comunicación escrita para el Instituto de Estudios Históricos de la Policía Nacional INEHPOL,En Curso,2021-09-20 18:25:00,Instituto de Estudios Historicos de la Policia Nacional,Calle Cuenca OE6-3 y Mideros esquina a media cuadra de la plaza San Francisco,"Funcionario Encargado: Sgos. Verónica Mediavilla
Email: compraspublicasinehpol@gmail.com"
